lambda;cp
15.17;0.21
14.68;0.24
14.23;0.27
13.79;0.29
13.39;0.31
13.01;0.33
12.64;0.35
12.30;0.36
11.98;0.38
11.67;0.39
11.38;0.40
11.10;0.41
10.84;0.42
10.59;0.43
10.35;0.43
10.12;0.44
9.90;0.44
9.69;0.45
9.48;0.45
9.29;0.46
9.10;0.46
8.93;0.46
8.75;0.47
8.59;0.47
8.43;0.47
8.28;0.47
8.13;0.47
7.99;0.48
7.85;0.48
7.72;0.48
7.59;0.48
7.46;0.48
7.34;0.47
7.23;0.47
7.11;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.47
7.00;0.45
7.00;0.44
6.94;0.43
6.88;0.42
6.82;0.41
6.77;0.40
6.71;0.39
6.65;0.38
6.60;0.37
6.54;0.36
6.49;0.35
6.44;0.34
6.39;0.34
6.34;0.33
6.29;0.32
6.24;0.31
6.19;0.30
6.14;0.30
6.09;0.29
6.05;0.28
6.00;0.28
5.96;0.27
5.91;0.27
5.87;0.26
5.83;0.25
5.78;0.25
5.74;0.24
5.70;0.24
5.66;0.23
5.62;0.23
5.58;0.22
5.54;0.22
5.51;0.21
5.47;0.21
5.43;0.21
5.39;0.20
5.36;0.20
5.32;0.19
5.29;0.19
5.25;0.19
5.22;0.18
5.18;0.18
5.15;0.18
5.12;0.17
5.08;0.17
5.05;0.17
5.02;0.16
4.99;0.16
4.96;0.16
4.93;0.15
4.90;0.15
4.87;0.15
4.84;0.15
4.81;0.14
4.78;0.14
4.75;0.14
4.72;0.14
4.70;0.13
4.67;0.13
4.64;0.13
4.61;0.13
4.59;0.12
4.56;0.12
4.54;0.12
4.51;0.12
4.48;0.12
4.46;0.11
4.43;0.11
4.41;0.11
4.39;0.11
4.36;0.11
4.34;0.11
4.32;0.10
4.29;0.10
4.27;0.10
4.25;0.10
4.22;0.10
4.20;0.10
4.18;0.09
4.16;0.09
4.14;0.09
4.11;0.09
4.09;0.09
4.07;0.09
4.05;0.09
4.03;0.08
4.01;0.08
3.99;0.08
3.97;0.08
3.95;0.08
3.93;0.08
3.91;0.08
3.89;0.08
3.88;0.07
3.86;0.07
3.84;0.07
3.82;0.07
3.80;0.07
3.78;0.07
3.77;0.07
3.75;0.07
3.73;0.07
3.71;0.07
3.70;0.06
3.68;0.06
3.66;0.06
3.65;0.06
3.63;0.06
3.61;0.06
3.60;0.06
3.58;0.06
3.56;0.06
3.55;0.06
3.53;0.06
3.52;0.06
3.50;0.06
3.49;0.05
3.47;0.05
3.46;0.05
3.44;0.05
3.43;0.05
3.41;0.05
3.40;0.05
3.38;0.05
3.37;0.05
3.35;0.05
3.34;0.05
3.33;0.05
3.31;0.05
3.30;0.05
3.29;0.05
3.27;0.05
3.26;0.04
3.25;0.04
3.23;0.04
3.22;0.04
3.21;0.04
3.19;0.04
