v;cp
3.00;0.20828669
3.10;0.24013954
3.20;0.26795328
3.30;0.29235330
3.40;0.31384790
3.50;0.33284697
3.60;0.34969380
3.70;0.36468533
3.80;0.37805873
3.90;0.38996813
4.00;0.40056297
4.10;0.41000259
4.20;0.41845199
4.30;0.42601708
4.40;0.43279582
4.50;0.43885228
4.60;0.44430530
4.70;0.44922709
4.80;0.45371372
4.90;0.45776588
5.00;0.46136668
5.10;0.46453825
5.20;0.46729890
5.30;0.46962070
5.40;0.47152010
5.50;0.47303781
5.60;0.47419468
5.70;0.47502634
5.80;0.47553602
5.90;0.47572875
6.00;0.47559586
6.10;0.47509271
6.20;0.47433209
6.30;0.47331074
6.40;0.47205365
6.50;0.47058553
6.60;0.47053552
6.70;0.47053552
6.80;0.47053552
6.90;0.47053552
7.00;0.47053552
7.10;0.47053552
7.20;0.47053552
7.30;0.47053552
7.40;0.47053552
7.50;0.47053552
7.60;0.47053552
7.70;0.47053552
7.80;0.47053552
7.90;0.47053552
8.00;0.47053552
8.10;0.47053552
8.20;0.47053552
8.30;0.47053552
8.40;0.47053552
8.50;0.47053552
8.60;0.47053552
8.70;0.47053552
8.80;0.47053552
8.90;0.47053552
9.00;0.47053552
9.10;0.47053552
9.20;0.47053552
9.30;0.47053552
9.40;0.47053552
9.50;0.47053549
9.60;0.47053552
9.70;0.47053552
9.80;0.47053552
9.90;0.47053552
10.00;0.47053552
10.10;0.47053552
10.20;0.47053552
10.30;0.47053552
10.40;0.47053552
10.50;0.47053552
10.60;0.47053552
10.70;0.47053552
10.80;0.47053552
10.90;0.47053552
11.00;0.47053552
11.10;0.47053552
11.20;0.46599245
11.30;0.45373011
11.40;0.44189429
11.50;0.43046656
11.60;0.41942951
11.70;0.40876657
11.80;0.39846200
11.90;0.38850093
12.00;0.37886912
12.10;0.36955309
12.20;0.36054000
12.30;0.35181764
12.40;0.34337437
12.50;0.33519915
12.60;0.32728139
12.70;0.31961104
12.80;0.31217852
12.90;0.30497470
13.00;0.29799083
13.10;0.29121855
13.20;0.28464997
13.30;0.27827746
13.40;0.27209374
13.50;0.26609188
13.60;0.26026526
13.70;0.25460753
13.80;0.24911259
13.90;0.24377465
14.00;0.23858812
14.10;0.23354770
14.20;0.22864826
14.30;0.22388491
14.40;0.21925296
14.50;0.21474791
14.60;0.21036543
14.70;0.20610140
14.80;0.20195183
14.90;0.19791292
15.00;0.19398099
15.10;0.19015253
15.20;0.18642415
15.30;0.18279262
15.40;0.17925480
15.50;0.17580768
15.60;0.17244840
15.70;0.16917413
15.80;0.16598226
15.90;0.16287018
16.00;0.15983541
16.10;0.15687557
16.20;0.15398836
16.30;0.15117157
16.40;0.14842306
16.50;0.14574079
16.60;0.14312275
16.70;0.14056705
16.80;0.13807184
16.90;0.13563533
17.00;0.13325581
17.10;0.13093165
17.20;0.12866120
17.30;0.12644295
17.40;0.12427541
17.50;0.12215712
17.60;0.12008671
17.70;0.11806282
17.80;0.11608415
17.90;0.11414946
18.00;0.11225752
18.10;0.11040715
18.20;0.10859723
18.30;0.10682666
18.40;0.10509437
18.50;0.10339934
18.60;0.10174055
18.70;0.10011707
18.80;0.09852794
18.90;0.09697226
19.00;0.09544917
19.10;0.09395780
19.20;0.09249734
19.30;0.09106699
19.40;0.08966599
19.50;0.08829358
19.60;0.08694903
19.70;0.08563164
19.80;0.08434074
19.90;0.08307564
20.00;0.08183573
20.10;0.08062036
20.20;0.07942895
20.30;0.07826090
20.40;0.07711563
20.50;0.07599261
20.60;0.07489128
20.70;0.07381114
20.80;0.07275166
20.90;0.07171237
21.00;0.07069278
21.10;0.06969243
21.20;0.06871086
21.30;0.06774763
21.40;0.06680233
21.50;0.06587453
21.60;0.06496384
21.70;0.06406985
21.80;0.06319220
21.90;0.06233050
22.00;0.06148439
22.10;0.06065353
22.20;0.05983758
22.30;0.05903620
22.40;0.05824906
22.50;0.05747585
22.60;0.05671626
22.70;0.05597001
22.80;0.05523679
22.90;0.05451632
23.00;0.05380832
23.10;0.05311253
23.20;0.05242869
23.30;0.05175654
23.40;0.05109582
23.50;0.05044631
23.60;0.04980775
23.70;0.04917993
23.80;0.04856262
23.90;0.04795559
24.00;0.04735864
24.10;0.04677156
24.20;0.04619414
24.30;0.04562618
24.40;0.04506750
24.50;0.04451790
24.60;0.04397721
24.70;0.04344523
24.80;0.04292180
24.90;0.04240674
25.00;0.04189989
